Course,Title,Pathways Area,Writing Intesive / College Options
PSYCH 213W,Experimental Psychology,Required Core - Life and Physical Sciences,"Science, Science, Writing Intensive, Writing Intensive"
PSYCH 213W,Experimental Psychology,Required Core - Life and Physical Sciences,"Science, Science, Writing Intensive, Writing Intensive"
DATA 235,Data and Society,Flexible Core - Scientific World,Science
SPAN 204,Intermediate Spanish II,Flexible Core - World Cultures & Global Issues,Language
YIDD 101,Elementary Yiddish I," ",Language
BUS 160W,Bus Comm & Career Readiness," ","Writing Intensive, Writing Intensive"
PHYS 1454,Principles of Physics I,Required Core - Life and Physical Sciences,Science
CSCI 100,Information and Intelligence,Flexible Core - Scientific World,Science
PHYS 1464,Principles of Physics II,Required Core - Life and Physical Sciences,Science
DANCE 381,Collab Wrkshp Dance & Theatre," ",Synthesis
DRAM 381,Collab Wrkshp Dance & Theatre," ",Synthesis
SPAN 53H,Don Quixote in Translation," ","Literature, Writing Intensive"
CHIN 211,Business Chinese II," ",Language
ENGL 157W,Readings in Global Literatures,Flexible Core - World Cultures & Global Issues,"Literature, Writing Intensive"
MUSIC 347H,Music Hist IV," ",Writing Intensive
DANCE 351W,Time & Dance Image In U.S. II," ",Writing Intensive
KOR 306,Advanced Korean II,Flexible Core - World Cultures & Global Issues,Language
ANTH 361W,Human Variation," ",Writing Intensive
ENGL 202W,Rhetoric and Writing in Engl," ",Writing Intensive
QNS 101W,Queens Community," ","Literature, Writing Intensive"
ENGL 203W,Writing Sci & Tech for Public," ",Writing Intensive
RM 742W,Data Sci via Machine Learning," ",Writing Intensive
CLAS 11,Sci & Medical Terminology," ",Language
ASL 211,American Sign Language III," ",Language
ENGL 347,VT: Jewish Lit in English," ",Literature
ANTH 235W,Ethnographic Writing," ",Writing Intensive
EECE 240W,Foundations of Bilingual Ed," ",Writing Intensive
MATH 220W,Discrete Mathematics," ",Writing Intensive
ENGL 110,College Writing I,Required Core - English Composition," "
HIST 101,"Early Modern Europe, 1500-1815",Flexible Core - World Cultures & Global Issues," "
CMLIT 205,Modern Poetry,Flexible Core - Creative Expression," "
HIST 104,Amer Hist 1865-Pres,Flexible Core - US Experience in its Diversity," "
URBST 101,Urban Poverty & Affluence,Flexible Core - US Experience in its Diversity," "
EAST 172,Music in Korea,Flexible Core - World Cultures & Global Issues," "
ENGL 153,Introduction to the Bible,Flexible Core - Creative Expression," "
MATH 151,Calc/Diff & Integtn,Required Core - Mathematical&QuantitativeReasoning," "
MES 170,Islam,Flexible Core - World Cultures & Global Issues," "
HIST 114,History of the Jewish People I,Flexible Core - World Cultures & Global Issues," "
WGS 101,Intro Women & Gender Studies,Flexible Core - US Experience in its Diversity," "
URBST 326,Cities and Diasporas,Flexible Core - World Cultures & Global Issues," "
CMLIT 231,African Lit in World Context,Flexible Core - World Cultures & Global Issues," "
BUS 101,Personal Finance & Investment,Required Core - Mathematical&QuantitativeReasoning," "
ARTS 333,Intro Social Engaged Art Pract,Flexible Core - Creative Expression," "
PHIL 116,Intro Philo Religion,Flexible Core - Individual and Society," "
LALS 203,Intro to Latinx Ethnic Identi,Flexible Core - US Experience in its Diversity," "
HIST 255,VT: Transf Moment Arab/Israeli,Flexible Core - Individual and Society," "
SOC 215,Sociology of Education,Flexible Core - Individual and Society," "
MUSIC 247,Western Music History II,Flexible Core - Individual and Society," "
PSCI 104,International Politics,Flexible Core - World Cultures & Global Issues," "
FNES 147,Family Relations,Flexible Core - Individual and Society," "
ARTH 258,History of Photography,Flexible Core - Creative Expression," "
LIBR 170,Writing& Libr Research Methods,Required Core - English Composition," "
ECON 100,Economics and Society,Flexible Core - Individual and Society," "
MUSIC 121,Writing about Music,Required Core - English Composition," "
MATH 131,Calculus with Applications I,Required Core - Mathematical&QuantitativeReasoning," "
ANTH 215W,Peoples of the Caribbean," ",Writing Intensive
ARAB 101,Elementary Arabic I," ",Language
ARAB 102,Elementary Arabic II," ",Language
ARTH 3202W,Internship in Art History," ",Writing Intensive
BIOL 24,Biology and Society," ","Science, Science"
BIOL 25,Biological Evolution,Flexible Core - Scientific World,Science
BUS 383W,Seminar In Business," ",Writing Intensive
BUS 392W,Honors Seminar," ","Writing Intensive, Writing Intensive"
CHEM 1013,Basic Chemistry,Required Core - Life and Physical Sciences,Science
CHEM 1134,General Chemistry I,Required Core - Life and Physical Sciences,Science
CHIN 350,VT: Chinese Fiction," ",Language
CMLIT 101W,Global Literatures I,Flexible Core - World Cultures & Global Issues,"Literature, Writing Intensive"
ECON 383W,Vt: Semi Select Studies Econ," ",Writing Intensive
ECON 392W,Honors Seminar," ","Writing Intensive, Writing Intensive"
EECE 201W,Schooling in Diverse Commun," ","Writing Intensive, Writing Intensive"
ENGL 152,Readings American Literature,Flexible Core - US Experience in its Diversity,Literature
ENGL 154W,Readings in Fiction," ",Writing Intensive
ENGL 251,British Literature Survey I," ",Literature
ENGL 253,American Literature Survey I," ",Literature
ENGL 301W,Fiction Workshop," ",Writing Intensive
ENGL 367,Modern Irish Literature," ",Literature
ENGL 377,VT: Modern South Asian Lit," ",Literature
ENGL 379,VT: Tran Ntl Post-Col Glob Lit," ",Literature
ENSCI 100,Our Planet In 21st Century,Required Core - Life and Physical Sciences,Science
EURO 101W,European Cultures & Traditions," ",Writing Intensive
EURO 250W,European Film and Media," ",Writing Intensive
FREN 206,Intro to French Literature," ",Language
FREN 340,Topics in 17th Cent French Lit," ",Language
GEOL 8,Introduction to Oceanography," ",Science
GERM 325,The Age of Goethe," ",Language
GRKMD 41W,Mod Greek Lit Trans," ","Literature, Writing Intensive"
GRKMD 203,Intermediate Modern Greek I,Flexible Core - World Cultures & Global Issues,Language
GRKMD 228,Adv Grammar & Comp," ",Language
GRKMD 231,Modern Greek Translation," ",Language
GRKMD 335,Studies in Modern Greek Lit," ",Literature
HEBRW 102,Elementary Hebrew II," ",Language
HEBRW 190,"Culture, Art, and Literature",Flexible Core - World Cultures & Global Issues,Literature
HEBRW 362,Hebrew Root Studies," ",Language
HIST 102H,"Modern Europe, 1815 to the Pre",Flexible Core - World Cultures & Global Issues,Writing Intensive
HIST 105W,Colonial Latin America," ",Writing Intensive
HIST 106W,Modern Latin America," ",Writing Intensive
HIST 135W,Writing Workshop," ",Writing Intensive
HIST 276W,The Immigrant in Amer History," ",Writing Intensive
ITAL 204,Intermediate Italian II,Flexible Core - World Cultures & Global Issues,Language
ITAL 223,Advanced Conversation," ",Language
JOURN 200W,Reporting From The Field," ",Writing Intensive
JPNS 101,Elementary Japanese I," ",Language
JPNS 212,Classical Japanese II," ",Language
JPNS 305,Advanced Modern Japanese I," ",Language
KOR 360,Readings in Korean," ",Language
MEDST 357W,"Media, Law, and Ethics"," ",Writing Intensive
MEDST 359W,Intnl Telecomm Polcy," ",Writing Intensive
PHIL 135W,Writing Workshop," ",Writing Intensive
PHIL 272W,Problems in Philosophy," ",Writing Intensive
PHYS 103,Physics for Computer Science I,Required Core - Life and Physical Sciences,Science
PSCI 2965W,Intern:Intntl Polits," ",Writing Intensive
RUSS 2143,Intermed. Russian Conversation," ",Language
RUSS 280,Dostoevsky," ",Literature
DATA 212W,Research Methods,Flexible Core - Scientific World,"Science, Writing Intensive"
SOC 381W,Senior Seminars," ",Writing Intensive
SPAN 41,Hisp Lit In Trans," ",Literature
SPAN 224,Grammar," ",Language
SPAN 225,Composition,Flexible Core - World Cultures & Global Issues,Language
SPAN 260,Survey of Spanish Lit II," ","Language, Language"
SPAN 306,Survey Span Lit II," ","Language, Language"
SPAN 290,Survey Span-Am Lit II," ","Language, Language"
SPAN 390,Hispanic Literature Seminar," ",Language
URBST 211W,Protest Movements in Film," ",Writing Intensive
URBST 265W,Vt: Spcl Tpcs," ",Writing Intensive
URBST 360W,Wrtng Inten Urbn Rsrch Wrkshp," ",Writing Intensive
BIOL 35,Genomics Res Exp II," ","Science, Science"
PHYS 1214,General Physics I,Required Core - Life and Physical Sciences,Science
SPAN 201,Span For Herit Spkrs 3,Flexible Core - World Cultures & Global Issues,Language
CMLIT 221W,East Asian Literature II," ","Writing Intensive, Writing Intensive"
DRAM 302,Dramatizing Science," ",Synthesis
ENGL 157,Readings in Global Literatures,Flexible Core - World Cultures & Global Issues,Literature
LCD 104,"Language, Culture, and Society",Flexible Core - Individual and Society,Language
ENGL 360,"VT: Latina/o, and Latinx Lit"," ",Literature
CLAS 3004W,Topics in Classical Studies," ",Writing Intensive
MUSIC 301W,Topics in Musicology," ",Writing Intensive
URBST 371W,VT: Service Learning Project," ",Writing Intensive
ENGL 204W,Writing from the Field," ",Writing Intensive
PSYCH 311W,Adv Exp: Learning & Behav Anly," ",Writing Intensive
HIST 351W,The American West," ",Writing Intensive
HIST 190,Writing and History,Required Core - English Composition," "
SEYS 120,Education for Social Justice,Flexible Core - Individual and Society," "
FASH 158,Fash Hist West 20th C- Present,Flexible Core - Individual and Society," "
HNRS 125,The Arts In New York City,Flexible Core - Creative Expression," "
CMLIT 229,Vt: Women Mod Wld Lit,Flexible Core - World Cultures & Global Issues," "
CSCI 211,Object-Oriented Program in C++,Required Core - Mathematical&QuantitativeReasoning," "
DRAM 100,Introduction to Acting,Flexible Core - Creative Expression," "
SOC 208,Social Problems,Flexible Core - Individual and Society," "
GEOL 78,Climate change: What it means,Flexible Core - Scientific World," "
PSCI 104,International Politics,Flexible Core - World Cultures & Global Issues," "
MATH 120,Discrete Math Comp Sci,Required Core - Mathematical&QuantitativeReasoning," "
PSCI 102,Political Controversies,Flexible Core - US Experience in its Diversity," "
PSCI 105,The Political Imagination,Flexible Core - Individual and Society," "
PSCI 105,Political Theory,Flexible Core - Individual and Society," "
ARTH 236,Baroque & Beginnings Globalism,Flexible Core - Creative Expression," "
MATH 231,Linear Algebra I,Required Core - Mathematical&QuantitativeReasoning," "
MUSIC 122,Writing Musical Culture,Required Core - English Composition," "
AFST 201W,Introduction to Black Cultures," ",Writing Intensive
AFST 232W,Caribbean Literature," ",Writing Intensive
AMST 300W,Vt: Topics In Am Studies," ",Writing Intensive
ARAB 204,Intermediate Arabic II," ",Language
ARTH 3203W,Internship in Art History," ",Writing Intensive
BUS 3911W,Special Problems," ",Writing Intensive
CHEM 2514,Organic Chemistry I,Required Core - Life and Physical Sciences,Science
CHEM 3311W,Phys Inorg Chem Lab," ",Writing Intensive
CHIN 102,Elementary Chinese II," ",Language
CLAS 250W,Ancient Epic and Tragedy," ",Writing Intensive
CMLIT 135W,Writing Workshop," ",Writing Intensive
CMLIT 382W,Advanced Seminars," ",Writing Intensive
ECON 228W,Econ Of Environment," ",Writing Intensive
ECON 230W,Women's Issues in Economics," ",Writing Intensive
ENGL 161W,Introduction to Narrative," ","Literature, Writing Intensive"
ENGL 162,Literature and Place," ",Literature
ENGL 200W,Writing about Writing," ",Writing Intensive
ENGL 340,Medieval & Early Modern Drama," ",Literature
ENGL 391W,Vt: Senior Semi in Lit," ",Writing Intensive
ENGL 305W,VT: Studies in Lit and Culture," ",Writing Intensive
FNES 163,General Nutrition,Flexible Core - Scientific World,Science
FNES 228W,Ind & Family Clothng," ",Writing Intensive
FNES 307W,Experimental Food Science," ",Writing Intensive
FREN 204,French Comp & Grammar 1,Flexible Core - World Cultures & Global Issues,Language
FREN 223,Adv Conv & Phonetics,Flexible Core - World Cultures & Global Issues,Language
FREN 228,Advanced Literary Analysis," ",Language
FREN 231,Skills and Art of Translation," ",Language
FREN 350,French Novel of 19th Century," ",Language
FREN 385,VT: Seminar," ",Language
GERM 110,Intensive German III-IV," ",Language
GERM 112,Elementary German II," ",Language
GERM 224,Adv Gram/Style II," ",Language
GERM 321,Early German Literature," ",Language
GERM 335,German Poetry," ",Language
GERM 360,German Lit & Modernity," ",Language
GREEK 252,Elementary Ancient Greek II," ",Language
GREEK 357,Homer," ",Language
GREEK 3603,VT: Readings Anc Grk Lit," ",Language
GRKMD 100W,Modern Greek Culture & Thought," ",Writing Intensive
GRKMD 305,Modern Greek Literature I," ",Language
HEBRW 150,Mod Heb Lit In Trans," ",Literature
HEBRW 350W,Bib Narrative&Poetry In Trans," ",Writing Intensive
HEBRW 307,Classical Hebrew," ",Language
HEBRW 317,Skills and Art of Translation," ",Language
HEBRW 356,Hebrw Lit 1948-Pres," ",Language
HEBRW 358,The Modern Hebrew Media," ",Language
HEBRW 361,History of the Hebrew Language," ",Language
HIST 104W,American History 1865-Present,Flexible Core - US Experience in its Diversity,Writing Intensive
HIST 216W,The Old Regime: Euro Society," ",Writing Intensive
HNRS 225,Sci & Tech In NYC,Flexible Core - Scientific World,Science
ITAL 224,Advanced Grammar," ",Language
ITAL 355,Vt:Ren Lit 1:Theatre," ",Language
ITAL 362,Vt:Mod Lit II:Poetry," ",Language
KOR 101,Elementary Korean I," ",Language
LATIN 101,Elementary Latin," ",Language
MEDST 321W,News Analysis," ",Writing Intensive
MEDST 326W,Media and Activism," ",Writing Intensive
MEDST 342W,Special Topics in Genre," ",Writing Intensive
MEDST 344W,Vt: Spec Tpcs Natl Cinemas," ",Writing Intensive
MEDST 346W,Afro-Amer in Amer Film & Tv," ",Writing Intensive
MEDST 350W,Propaganda," ",Writing Intensive
MEDST 381W,Advanced Studies in Media," ",Writing Intensive
PHIL 383W,Research Paper," ",Writing Intensive
PORT 203,Intermediate Portuguese I,Flexible Core - World Cultures & Global Issues,Language
PORT 204,Intermediate Portuguese II," ",Language
PSCI 2924W,Internship in Urban Politics," ",Writing Intensive
PSYCH 101,General Psychology,Flexible Core - Scientific World,Science
RUSS 112,Elementary Russian II," ",Language
RUSS 150W,Russian Culture and Thought," ",Writing Intensive
SOC 391H,Honors-Indep Study," ",Writing Intensive
SPAN 112,Elementary Spanish II," ",Language
SPAN 203,Intermediate Spanish I,Flexible Core - World Cultures & Global Issues,Language
SPAN 305,Survey of Spanish Literature I," ","Language, Language"
SPAN 250,Survey of Spanish Literature I," ","Language, Language"
SPAN 260,Survey Span Lit II," ","Language, Language"
SPAN 307,Survey Span-Amer Literature I," ","Language, Language"
URBST 239W,Urban Labor & Labor Mvmts," ",Writing Intensive
URBST 254W,Urban Transport," ",Writing Intensive
URBST 310W,Community Organization," ",Writing Intensive
YIDD 210,Inter Conversational Yiddish," ",Language
ENGL 165,Introduction to Poetry,Flexible Core - Creative Expression,Literature
PHYS 1461,Princ of Physics II Lab," ",Science
PHYS 11,Conceptual Physics Laboratory," ",Science
HIST 280W,Film Aesthetics and History," ",Writing Intensive
CMLIT 221W,East Asian Lit 1300-1800," ","Writing Intensive, Writing Intensive"
HIST 229,Politic&Religion Early Eng&Ire," ",Literature
LCD 102,Analyzing Language,Flexible Core - Scientific World,"Language, Science"
GEOL 77,"Weather, Climate, & Change",Flexible Core - Scientific World,Science
ENSCI 373W,Environmental Problem Solving," ",Writing Intensive
PSYCH 252,Apps Bhvior Analys Animal Trng,Required Core - Life and Physical Sciences,"Science, Science"
PHYS 3,Physics of Musical Sound,Flexible Core - Scientific World,Science
URBST 113W,Urban Subcult & Lifestyles," ",Writing Intensive
LCD 388,Voices of New York," ",Synthesis
BIOL 41,Anatomy and Physiology II,Required Core - Life and Physical Sciences,Science
LANG 2003,VT: Language Tutorial," ",Language
MUSIC 302W,Topics in Non-Western Music," ",Writing Intensive
MES 245,1001 Nights in World Lit," ",Literature
ANTH 212W,PeoplesCult of the MiddleE," ",Writing Intensive
LABST 215,Development of Labor Movements," ",Writing Intensive
PSYCH 313W,Adv Exp Psy: Cognition," ",Writing Intensive
WGS 104W,Introduction to LGBTQ Studies," ",Writing Intensive
ARTH 256,Contemporary Art Practices,Flexible Core - Creative Expression," "
URBST 101,Intro to Urban Inequality,Flexible Core - US Experience in its Diversity," "
SOC 206,Intro Social Statistics,Required Core - Mathematical&QuantitativeReasoning," "
CSCI 48,Spreadsheet Programming,Required Core - Mathematical&QuantitativeReasoning," "
MATH 241,Intro Prob & Math Stat,Required Core - Mathematical&QuantitativeReasoning," "
PHIL 255,Jewish Philosophy,Flexible Core - World Cultures & Global Issues," "
URBST 103,Urban Diversity,Flexible Core - US Experience in its Diversity," "
BALA 101,Business and Society,Flexible Core - Individual and Society," "
PSYCH 1073,Statistical Methods,Required Core - Mathematical&QuantitativeReasoning," "
AFST 101,Survey Early African Civ,Flexible Core - World Cultures & Global Issues," "
FREN 250,French & Francophone Film,Flexible Core - Creative Expression," "
SOC 222,Social Welfare,Flexible Core - US Experience in its Diversity," "
SOC 190,Writing for Sociology,Required Core - English Composition," "
ARTH 1,Introduction to Art,Flexible Core - Creative Expression," "
CMLIT 225,Literature and Anthropology,Flexible Core - World Cultures & Global Issues," "
ACCT 362W,Business Law II," ",Writing Intensive
ANTH 102,Bio & Evo of the Human Species,Flexible Core - Scientific World,Science
ANTH 208W,Peoples of South Asia," ",Writing Intensive
BALA 103W,Critical Thinking in Business," ",Writing Intensive
BIOL 106,Life-Form&Ecosystems,Required Core - Life and Physical Sciences,Science
CHEM 1144,General Chemistry II,Required Core - Life and Physical Sciences,Science
CHEM 395W,Senior Thesis," ",Writing Intensive
CHIN 330,The Chinese Essay," ",Language
CMAL 102W,Cult Stud - Colonial," ",Writing Intensive
EAST 152,Korean Lit In Trans," ",Literature
EAST 255W,Early Japan Women Writing," ",Writing Intensive
ECON 223W,American Economy to 1914," ",Writing Intensive
ENGL 252,British Literature Survey II," ",Literature
ENGL 254,American Literature Survey II," ",Literature
ENGL 311,"Medieval Literature, Pre-1100"," ",Literature
ENGL 322,Restoration & 18th Cent Lit," ",Literature
ENGL 333,Shakespeare II," ",Literature
ENGL 359,"Reg, Real & Nat Am Lit"," ",Literature
EURO 301W,VT: Topics in European Studies," ",Writing Intensive
FREN 111,Elementary French I," ",Language
FREN 363,French Poetry XIX Century," ",Language
FREN 370,Tpcs:Francophone Lit,Flexible Core - World Cultures & Global Issues,"Language, Literature"
GEOL 9,Environmental Issues,Flexible Core - Scientific World,Science
GEOL 11,Survey of Atmospheric Science," ",Science
GERM 45W,German Cultures and Thought," ",Writing Intensive
GERM 223,Conversation Level I,Flexible Core - World Cultures & Global Issues,Language
GERM 228,Adv Conv & Comp II," ",Language
GERM 235,German - Bus & Indus," ",Language
GREEK 352,Plato," ",Language
GRKMD 306,Modern Greek Literature II," ",Language
HIST 103W,"American History, 1607-1865",Flexible Core - US Experience in its Diversity,Writing Intensive
HNRS 350W,Senior Thesis," ",Writing Intensive
HTH 220H,The Middle Ages," ",Writing Intensive
ITAL 41W,Italian Lit in Translation," ","Literature, Writing Intensive"
ITAL 329,Textual Analysis," ",Language
ITAL 361,Vt:Mod Lit 1:Theatre," ",Language
ITAL 364,Vt:Mod Lit III: Prose," ",Language
JPNS 203,Intermediate Japanese I," ",Language
JPNS 312,Advanced Texts II," ",Language
KOR 102,Elementary Korean II," ",Language
LATIN 315,Latin Prose Composition I," ",Language
LCD 244W,Language and Social Diversity," ",Writing Intensive
MUSIC 247W,Western Music History II,Flexible Core - Individual and Society,Writing Intensive
MUSIC 268W,The School Choral Program," ",Writing Intensive
MUSIC 269W,School Instrumental Program," ",Writing Intensive
PHIL 104H,Introduction to Ethics,Flexible Core - Individual and Society,Writing Intensive
PORT 111,Elementary Portuguese I," ",Language
PSCI 135W,Writing Workshop," ",Writing Intensive
PSCI 384W,Seminar International Politics," ",Writing Intensive
PSCI 386W,Seminar in Political Theory," ",Writing Intensive
RUSS 111,Elementary Russian I," ",Language
RUSS 155,Keys to Russian Literature," ",Literature
SOC 212H,Sociological Analysis," ","Science, Writing Intensive"
SPAN 45W,Hispanic Civilization,Flexible Core - World Cultures & Global Issues,Writing Intensive
SPAN 280,Survey Span-Amer Literature I," ","Language, Language"
URBST 245W,The Urban Economy," ",Writing Intensive
URBST 320W,VT: Special Problems," ",Writing Intensive
URBST 340W,Greek-American Community NY," ",Writing Intensive
PHYS 1451,Principles of Physics I Lab," ",Science
PHYS 14,Conceptual  Physics  Lec,Required Core - Life and Physical Sciences,Science
PHYS 1224,General Physics II,Required Core - Life and Physical Sciences,Science
SPAN 53W,Don Quixote in Translation," ","Literature, Writing Intensive"
BALA 201W,Business Communications," ",Writing Intensive
KOR 305,Advanced Korean I,Flexible Core - World Cultures & Global Issues,Language
KOR 370,Advanced Korean Through Film," ",Language
LALS 381W,Latin American Seminar," ",Writing Intensive
AFST 303,Global Black Exp Media &Film," ",Writing Intensive
AACS 200W,Making of Asian American Hist," ",Writing Intensive
EAST 162,Introduction to Korean Cinema,Flexible Core - Creative Expression," "
EDUCN 105,Education in Global Times,Flexible Core - World Cultures & Global Issues," "
MATH 114,Elementary Prob&Stat,Required Core - Mathematical&QuantitativeReasoning," "
LCD 103,Multilingualism In U.S.,Flexible Core - US Experience in its Diversity," "
HIST 163,VT: Topics in U.S. History,Flexible Core - US Experience in its Diversity," "
PSYCH 107,Statistical Methods,Required Core - Mathematical&QuantitativeReasoning," "
PHIL 104,Introduction to Ethics,Flexible Core - Individual and Society," "
HSS 200,Social Sciences and Society,Flexible Core - Individual and Society," "
GRKMD 250,Modern Greek Film and Media,Flexible Core - Creative Expression," "
PSCI 241,Pol Ethnic Cleansing&Genocide,Flexible Core - Individual and Society," "
MATH 157,Honors Calculus I,Required Core - Mathematical&QuantitativeReasoning," "
ECON 101,Introduction to Macroeconomics,Flexible Core - Individual and Society," "
ARTH 113,Survey of Modern Art,Flexible Core - Creative Expression," "
DATA 205,Introductory Analytics,Required Core - Mathematical&QuantitativeReasoning," "
MATH 142,Calculus/Integration,Required Core - Mathematical&QuantitativeReasoning," "
